id,name,from,to,age_from,age_to,height_cm,weight_kg,gp,w,l,total_shots,sv%,best_year,min,qs,bs,qual_r,Brad Park,Denis Potvin,Guy Lapointe,Larry Robinson,Borje Salming,Viacheslov Fetisov,Rod Langway,Ray Bourque,Paul Coffey,Larry Murphy,Al MacInnis,Scott Stevens,Brian Leetch,Mark Howe,Chris Chelios,Scott Niedermayer,Rob Blake,Phil Housley,Nicklas Lidstrom,Chris Pronger,Drew Doughty,Erik Karlsson,Duncan Keith,P.K. Subban,Zdeno Chara
196,Doug Soetaert,1976,1987,,31,182,81,284,110,104,2908,0.867,0.869,15583,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,Rick St. Croix,1978,1985,,30,177,72,130,49,54,845,0.841,0.0,7295,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Ed Staniowski,1976,1985,,29,175,77,219,67,104,586,0.858,0.0,12075,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Greg Stefan,1982,1990,,28,180,81,299,115,127,7106,0.871,0.896,16333,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Jamie Storr,1995,2004,19,28,187,88,219,85,86,5317,0.908,0.908,11512,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201,Rick Tabaracci,1989,2000,20,,185,86,286,93,125,7100,0.893,,15255,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,Kari Takko,1986,1991,23,,187,85,142,37,71,3922,0.879,,7317,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Cam Talbot,2014,2017,26,29,190,87,125,62,45,3620,0.924,0.926,7242,66,7,9.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Robbie Tallas,1996,2001,22,27,180,84,99,28,42,2256,0.891,0.0,5069,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Mikael Tellqvist,2003,2009,23,,180,84,113,45,41,2967,0.898,,6034,19,4,4.750,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
206,Chris Terreri,1987,2001,22,,175,77,406,151,172,10623,0.892,,22369,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
207,Jose Theodore,1996,2013,19,36,180,78,648,286,254,17983,0.909,0.931,36607,135,41,3.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
208,Jocelyn Thibault,1994,2008,19,33,180,76,586,238,238,15706,0.904,0.915,32892,3,4,0.750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
209,Tim Thomas,2003,2014,28,,180,91,426,214,145,12822,0.920,,24448,199,30,6.633,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
210,Vesa Toskala,2002,2010,24,,177,88,266,129,82,6957,0.902,,14767,68,34,2.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Ron Tugnutt,1988,2004,20,36,180,72,537,186,239,14205,0.895,0.925,29486,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Marty Turco,2001,2012,25,36,180,83,543,275,167,13447,0.910,0.932,30957,108,46,2.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
213,Roman Turek,1997,2004,26,33,190,99,328,159,115,7886,0.907,0.912,19095,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
214,John Vanbiesbrouck,1982,2002,,38,172,80,882,374,346,24678,0.899,0.924,50475,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
215,Semyon Varlamov,2009,2017,20,28,187,94,332,165,123,9961,0.916,0.927,19081,178,46,3.870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Mike Veisor,1974,1984,,,175,72,139,41,62,286,0.839,,7806,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Mike Vernon,1983,2002,,38,175,81,781,385,273,19921,0.890,0.917,44449,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
218,Tomas Vokoun,1997,2013,20,36,185,95,700,300,288,20313,0.917,0.926,39695,175,38,4.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Jimmy Waite,1989,1999,19,29,185,81,106,28,41,2279,0.871,0.0,5253,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,Darcy Wakaluk,1989,1997,22,30,180,81,191,67,75,4739,0.889,0.91,9756,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
221,Rick Wamsley,1981,1993,,33,180,84,407,204,131,8543,0.880,0.894,23123,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
222,Cam Ward,2006,2017,21,32,185,84,571,271,211,16287,0.909,0.923,32784,255,71,3.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Kevin Weekes,1998,2009,22,33,187,97,348,105,163,9262,0.903,0.912,18837,10,2,5.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,Steve Weeks,1981,1993,,34,180,77,290,111,119,5830,0.873,0.893,15879,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
225,Kay Whitmore,1989,2002,21,34,180,79,155,60,64,4050,0.875,0.89,8600,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Ken Wregget,1984,2000,19,35,185,91,575,225,248,16675,0.885,0.905,31663,,,,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
227,Wendell Young,1986,1995,22,31,175,82,187,59,86,4977,0.876,0.873,9410,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
